id_student,n_modules,actual,count_based_pred,max_pool_pred
519589,2,1,0,1
520077,2,1,0,0
521115,2,0,0,0
523061,2,0,0,1
523762,2,0,0,0
523817,2,1,0,1
523872,2,0,0,1
524386,2,1,1,1
524431,3,1,0,0
525332,2,1,0,0
527771,2,1,1,1
528270,2,1,0,0
532531,2,1,0,0
532846,2,1,0,1
536736,2,1,0,1
537322,1,0,0,0
537811,3,0,0,0
538232,2,1,1,1
540509,1,0,0,0
540530,2,1,0,1
540568,2,1,0,1
541003,2,1,0,1
542050,2,1,0,0
542167,2,1,0,0
542562,1,0,0,0
543475,2,1,0,0
543924,2,1,1,1
543948,2,0,0,0
544155,2,1,0,1
545493,2,1,0,0
547153,2,1,0,0
547413,2,1,0,0
547685,2,1,0,1
548261,2,1,1,1
548578,2,1,0,1
549922,2,1,0,0
550812,2,1,0,0
550893,1,1,0,0
551332,2,1,0,1
551528,3,1,1,1
551856,2,1,0,1
552965,2,0,0,0
554459,1,1,0,0
554588,1,1,0,0
555989,2,0,0,0
557085,3,1,0,0
557700,1,0,0,0
558122,2,1,1,1
558342,1,1,1,1
559977,2,1,0,1
560951,2,1,0,1
561208,1,0,0,0
561363,2,0,0,0
561559,2,0,0,0
561774,2,0,0,0
561848,1,1,1,1
562825,2,0,0,0
563321,2,0,0,0
563631,2,1,0,1
565275,1,1,0,0
565838,2,1,1,1
566871,2,1,1,1
567597,2,1,0,0
569342,1,1,0,0
570491,2,0,0,0
570954,2,1,1,1
571025,2,1,0,0
571128,2,1,0,0
571233,2,1,0,1
571389,2,1,1,1
571950,3,1,1,1
572154,2,1,0,1
572599,2,1,0,1
573481,1,1,1,1
573558,2,0,0,0
574523,1,0,0,0
574663,2,1,0,1
574928,2,0,0,0
575398,2,1,0,1
577245,2,1,0,0
577566,2,0,0,0
578541,2,1,0,1
578958,2,0,0,0
579052,2,1,0,1
579283,2,1,0,1
580798,2,0,0,0
580845,2,0,0,0
581716,2,1,0,0
582530,2,1,1,1
583288,2,1,1,1
585393,2,0,0,0
585397,2,0,0,0
585526,2,1,0,0
585643,2,1,0,1
587008,2,0,0,1
587793,2,1,0,0
588058,2,1,1,1
588274,2,0,0,0
589441,1,1,1,1
589722,2,1,0,1
590886,1,1,0,0
592338,2,0,0,0
592657,2,1,0,1
592939,1,1,0,0
592951,2,1,0,1
593123,2,1,1,1
594193,2,1,0,1
595356,2,1,1,1
595992,2,1,0,1
596052,2,1,0,1
596620,1,1,1,1
596699,2,1,0,0
596855,2,1,0,1
596947,2,1,0,0
597166,2,1,0,1
598113,2,0,0,1
599263,1,1,0,0
599297,1,1,1,1
599341,1,0,0,0
599429,2,1,0,1
599937,2,1,0,1
600181,2,1,1,1
600814,2,1,0,0
600898,2,1,0,1
600987,2,0,0,0
601567,2,1,0,1
602107,2,1,1,1
602150,1,1,0,0
602312,2,1,0,1
603179,2,0,0,1
603832,2,1,0,0
603931,1,1,0,0
604057,2,0,0,0
604571,2,0,0,0
605545,1,1,1,1
605688,2,0,0,0
606127,2,1,0,0
606350,2,1,0,1
607413,2,1,0,1
607453,1,0,0,0
607896,2,1,0,0
608152,2,1,0,0
608746,2,0,0,0
609383,2,1,0,1
609450,2,1,0,1
609645,2,1,0,0
610234,1,0,0,0
610537,1,1,1,1
610622,2,1,1,1
610904,2,0,0,0
611865,1,1,0,0
612023,2,1,1,1
612287,2,1,0,1
612397,2,1,1,1
612644,2,0,0,0
612673,2,1,1,1
612822,2,1,0,1
612882,2,1,0,1
613133,2,0,0,0
613447,2,1,0,1
613461,2,1,0,0
613501,2,0,0,0
613644,2,1,1,1
614059,1,0,0,0
614265,1,0,0,0
614300,2,0,0,0
614733,2,1,1,1
614804,1,0,0,0
614952,2,1,1,1
615229,2,0,0,0
616334,2,1,0,1
616439,1,0,0,0
616831,2,0,0,0
617130,1,0,0,0
617331,2,1,0,1
617355,2,0,0,0
617365,2,0,0,0
617781,2,0,0,0
618078,2,1,0,0
618171,2,1,0,0
618279,2,1,1,1
618571,2,0,0,0
618583,2,1,0,0
618590,1,0,0,0
618606,2,1,0,1
618619,2,1,0,1
618649,1,0,0,0
618665,2,1,0,1
618744,2,1,0,1
618824,2,0,0,0
619006,2,1,1,1
619014,2,0,0,0
620215,2,1,0,1
620243,1,0,0,0
620320,2,1,0,1
620337,2,1,0,0
620369,1,0,0,0
620646,2,1,0,0
620782,2,1,0,1
620876,2,1,0,1
620918,2,1,0,1
620974,2,1,0,0
620977,2,1,1,1
621300,1,0,0,0
621380,2,1,1,1
621655,2,1,0,1
621696,1,0,0,0
622015,1,1,0,0
622130,2,1,0,1
622215,2,1,0,0
622368,2,0,0,0
622384,2,1,1,1
622430,2,1,0,0
622890,2,1,1,1
622948,2,1,0,0
623052,2,1,0,0
623250,2,0,0,0
623347,2,0,0,0
623421,2,0,0,0
623456,2,1,0,1
623562,2,0,0,0
623609,2,1,1,1
623667,2,0,0,0
623738,2,1,0,1
623780,2,1,0,0
623786,2,1,0,1
623797,2,0,0,1
623917,1,1,1,1
624441,2,0,0,0
624591,2,1,0,1
624782,2,1,0,0
625207,2,1,0,1
625213,2,1,0,0
625288,2,1,0,1
625476,2,1,0,0
625527,2,1,0,0
625714,2,1,0,0
625740,2,1,0,0
625785,1,1,0,0
625790,2,1,0,1
625793,2,1,0,1
625903,2,1,0,0
625953,2,1,0,1
625975,2,1,1,1
626055,2,1,0,1
626183,2,1,0,0
626296,1,0,0,0
626349,1,1,0,0
626417,1,0,0,0
626444,2,1,0,1
626469,2,1,0,1
626516,2,1,0,1
626552,2,1,0,0
626625,1,0,0,0
626714,2,1,0,0
626772,2,1,0,1
626877,2,1,0,0
626906,2,1,0,1
626998,1,0,0,0
627168,2,1,1,1
627176,2,1,0,0
627283,2,0,1,1
627295,2,1,0,1
627307,2,1,0,0
627387,2,0,0,0
627399,2,0,0,0
627500,1,1,1,1
627516,2,1,0,0
627636,2,1,0,0
627711,2,1,0,0
627750,2,0,0,0
627907,2,1,0,1
628054,1,1,0,0
628141,2,1,0,1
628214,2,1,1,1
628366,1,1,1,1
628480,2,1,0,1
628527,2,1,1,1
628575,2,0,0,0
628677,2,1,0,0
628717,2,1,0,1
628718,2,1,0,0
628725,2,1,0,1
628803,1,1,0,0
628841,2,1,0,0
628846,1,1,0,0
629014,2,1,0,0
629081,2,1,0,1
629342,2,1,0,0
629400,2,1,0,0
629500,2,1,0,1
629535,2,1,0,0
629601,2,1,0,0
629613,2,1,0,1
629628,2,1,0,1
629632,2,1,0,0
629654,2,1,0,0
629692,1,0,0,0
629696,1,0,0,0
629710,2,0,0,0
629736,2,1,0,0
629773,2,1,1,1
629906,2,1,0,0
630047,2,0,0,1
630086,2,0,0,0
630152,2,1,1,1
630178,2,0,0,0
630200,1,0,0,0
630449,2,1,0,0
630519,2,0,0,0
630540,2,1,0,0
630541,2,1,0,0
630573,2,1,1,1
630585,2,1,0,0
630606,2,0,0,1
630613,2,0,0,0
630635,2,1,0,0
630657,2,1,1,1
630825,2,1,0,1
630888,2,1,0,1
630905,2,0,0,0
630912,2,1,0,0
631075,1,1,1,1
631300,2,1,0,1
631334,2,0,0,0
631453,2,1,0,0
631473,2,0,0,0
631655,2,1,0,0
631924,2,0,0,0
631925,2,1,1,1
632074,3,0,0,0
632111,2,0,0,0
632114,2,1,0,0
632133,2,1,0,1
632135,2,1,0,0
632260,1,1,0,0
632312,2,1,0,1
632459,2,0,0,0
632473,1,1,1,1
632486,2,1,0,1
632626,2,1,0,1
632641,2,1,0,1
632691,2,1,0,1
632856,2,1,0,1
633243,2,1,1,1
633270,2,0,0,0
633310,2,1,0,0
633341,2,1,1,1
633384,2,1,0,1
633395,2,1,0,1
633432,2,1,0,1
633455,2,1,0,1
633618,1,1,0,0
633637,2,1,1,1
633695,2,0,0,0
633716,2,1,0,1
633914,2,0,0,0
633998,2,0,0,1
634040,2,1,1,1
634057,2,1,0,0
634139,2,1,0,0
634176,2,1,0,1
634216,2,0,0,0
634241,2,0,0,0
634279,2,1,1,1
634349,2,1,1,1
634433,2,1,1,1
634500,2,0,0,0
634552,2,0,0,0
634570,2,0,0,0
634578,2,1,0,0
634721,2,1,1,1
634737,2,1,0,1
634744,2,1,0,1
634776,2,1,0,1
634816,2,1,0,0
634862,2,1,0,0
635034,2,1,0,0
635041,2,1,0,1
635043,2,0,0,0
635109,2,0,0,0
635410,2,1,0,1
635515,2,1,0,1
636124,2,0,0,0
636243,2,1,0,1
636364,2,0,0,0
636420,2,1,0,1
636443,2,1,0,0
636783,2,0,0,0
636996,2,0,0,0
637089,2,1,0,1
637691,2,1,0,0
637708,2,0,0,0
637939,2,1,0,0
638018,2,0,0,0
638243,2,1,0,1
639012,2,1,0,1
640109,2,1,1,1
640773,2,1,0,0
641363,2,0,0,0
641804,2,1,0,1
642066,2,1,0,1
642591,2,0,0,0
642744,2,1,0,1
642790,2,1,0,1
642838,2,0,0,0
642839,2,1,1,1
643199,2,1,0,0
643309,2,1,1,1
643404,2,1,1,1
643416,2,1,0,0
643434,2,1,1,1
643457,2,1,0,0
643514,2,1,0,0
643690,2,1,1,1
643757,2,1,0,1
643758,2,1,0,0
643770,2,1,0,0
644246,2,0,0,0
644369,2,0,0,0
644480,2,0,0,0
644516,2,1,1,1
644905,2,1,0,1
644974,2,0,0,0
645219,2,1,0,0
645586,2,0,0,0
645792,2,0,0,0
645847,2,1,0,0
645939,2,1,0,1
645948,2,1,0,1
646071,2,0,0,1
646359,2,1,0,1
646363,2,1,1,1
646459,2,1,0,1
646502,2,1,0,1
646547,2,1,0,1
646589,2,1,0,0
646841,2,1,1,1
646998,2,0,0,0
647083,2,1,1,1
647148,2,0,0,1
647391,2,1,0,0
647417,2,1,0,1
647464,2,0,0,0
647518,2,1,0,1
647645,2,1,0,0
647865,2,0,0,1
647888,2,0,0,1
648140,2,0,0,0
648250,2,1,0,1
648285,2,0,0,1
648321,2,1,0,0
648354,2,1,0,0
648369,2,0,0,0
648419,2,1,0,1
648536,2,1,0,0
648590,2,1,0,0
648654,2,1,0,1
648854,2,0,0,0
648872,2,1,0,1
648959,2,1,0,1
649001,2,1,0,1
649141,2,1,0,0
649215,2,1,0,1
649230,3,1,0,0
649343,2,0,0,1
649413,2,1,0,0
649761,2,1,0,1
649780,2,1,0,0
649840,2,1,0,0
650085,2,1,1,1
650105,2,1,0,1
650145,2,1,0,0
650271,2,1,1,1
650341,2,1,0,1
650370,2,0,0,0
650424,2,1,0,0
650849,2,1,0,1
650850,2,1,0,1
650856,2,0,0,0
650927,2,1,0,0
651058,2,1,0,1
651267,2,1,0,1
651495,2,0,0,0
651508,2,0,0,0
651734,2,1,0,0
651759,2,0,0,0
651850,2,1,0,1
651935,2,0,0,0
652428,2,1,1,1
652501,2,0,0,0
652894,2,1,0,1
652902,2,0,0,0
652971,2,1,0,0
652994,2,1,0,1
653051,2,1,0,0
653115,2,0,0,0
653177,2,1,1,1
653352,2,1,0,1
653452,2,0,0,1
653506,2,1,1,1
653887,2,1,1,1
653998,2,1,0,0
654031,2,0,0,0
654114,2,0,0,0
654295,2,1,0,0
654322,2,1,0,1
654504,2,0,0,0
654755,2,1,1,1
655051,2,1,0,0
655353,2,0,0,0
655484,2,1,1,1
655498,2,0,0,0
655927,2,0,0,0
655973,2,0,0,0
656203,2,1,0,0
656347,2,0,0,0
656929,2,1,0,1
656954,2,1,1,1
657048,2,1,0,0
657210,2,1,0,1
657319,2,1,0,1
669530,1,0,0,0
674430,2,1,0,1
674497,2,0,0,0
674699,2,0,0,0
674808,2,0,0,1
674882,2,1,0,1
674965,2,1,0,1
675054,2,0,0,0
675337,2,1,0,1
675374,2,0,0,0
675442,2,1,1,1
675450,2,1,0,0
675495,2,1,0,0
675638,2,1,0,0
676138,2,1,0,0
676538,2,0,0,0
676964,2,0,0,0
677018,2,0,0,0
677085,2,0,0,0
677382,2,1,0,0
677459,2,0,0,1
677741,2,0,0,0
678088,2,1,0,0
678194,2,1,0,0
678203,2,0,0,0
678246,2,1,0,0
678393,2,1,0,0
678419,2,0,0,0
678538,2,1,0,0
678790,2,0,0,0
678860,2,1,0,0
679114,2,1,0,0
679179,2,1,1,1
679207,2,1,0,0
679386,2,0,0,0
679431,2,1,0,0
679569,2,1,0,0
679939,2,0,0,0
680027,2,0,0,0
680133,2,0,0,0
680145,2,1,0,0
680222,2,1,1,1
680267,2,0,0,1
680492,2,0,0,0
680765,2,1,0,1
680804,2,0,0,0
681235,2,0,0,0
681302,2,0,0,1
681335,2,1,1,1
682259,2,1,0,1
682414,2,1,0,1
682511,2,0,0,0
682569,2,0,0,0
682717,2,1,1,1
684498,2,1,0,0
684511,2,1,0,0
684617,2,1,0,1
684663,2,1,1,1
684669,2,0,0,0
684905,2,0,0,0
684944,2,1,0,1
685015,2,1,0,0
685212,2,0,0,0
685236,2,1,0,1
685287,2,0,0,0
685412,2,0,0,0
685458,2,0,0,0
685474,2,1,0,1
685487,2,0,0,0
685557,2,1,0,1
685619,2,1,0,0
685705,2,1,0,1
685860,2,1,0,1
685950,2,0,0,1
685952,2,1,0,1
685964,2,0,0,0
686018,2,0,0,0
686058,2,0,0,0
686110,2,0,0,0
686268,2,1,0,0
686558,2,0,0,0
686584,2,0,0,0
687023,2,0,0,1
687310,2,1,0,0
687345,2,1,0,0
687686,2,1,0,0
687772,2,0,0,0
687844,2,1,0,0
687981,2,0,0,0
688171,2,1,1,1
688337,2,0,0,0
688683,2,1,0,1
688843,2,1,0,1
689042,2,1,0,1
689050,2,0,0,0
689190,2,0,0,0
689217,2,0,0,0
689346,2,1,0,1
689527,2,1,1,1
689759,2,0,0,0
689855,2,0,0,0
690298,2,1,0,1
690365,2,0,0,0
690439,2,1,1,1
690507,2,0,0,0
690724,2,1,0,0
690733,2,0,0,0
690763,2,1,1,1
690962,2,1,0,1
691069,2,0,0,0
691177,2,1,0,1
691218,2,1,0,1
691257,2,1,1,1
692219,2,1,0,1
692603,2,0,0,0
692850,2,1,0,1
692928,2,0,0,0
693058,2,0,0,0
693111,2,1,0,0
693812,2,1,0,1
693910,2,1,0,1
694147,2,1,1,1
694361,2,1,0,0
694536,2,1,0,1
694579,2,0,0,0
694680,2,0,0,1
694705,2,1,1,1
694871,2,1,0,0
695122,2,1,1,1
695270,2,0,0,0
695369,2,1,1,1
695643,2,1,0,1
695653,2,1,0,1
696234,2,1,0,1
696324,2,1,0,0
696501,2,1,0,1
696930,2,1,1,1
697253,2,1,0,0
697283,2,1,1,1
697460,2,1,1,1
697948,2,1,0,1
697998,2,1,0,0
698024,2,1,1,1
698112,2,1,1,1
698355,2,0,0,0
698598,2,1,0,1
1078701,2,0,0,0
1268772,2,1,0,0
1490624,2,0,0,0
1501577,2,0,0,0
1514245,1,1,0,0
1644328,2,1,1,1
1658963,2,0,0,0
1671811,2,0,0,0
1674799,2,0,0,0
1780737,2,1,1,1
1828112,2,1,0,1
1841850,2,1,0,1
1894419,2,1,0,1
1991399,2,0,0,0
2009279,2,1,0,1
2030241,2,1,0,1
2064873,2,0,0,0
2110039,2,1,0,1
2128283,1,1,0,0
2139273,1,0,0,0
2216442,2,1,0,1
2242383,2,1,0,1
2285527,2,0,0,0
2338535,2,1,1,1
2343809,2,1,0,1
2391004,2,0,0,0
2394090,1,0,0,0
2410519,2,0,0,0
2436400,2,1,0,0
2437591,2,1,0,1
2446778,2,1,0,1
2464118,2,0,0,0
2470326,2,1,0,1
2478799,2,1,1,1
2558365,1,1,1,1
2559144,2,0,0,0
2567038,2,0,0,0
2599883,3,1,0,0
2603195,2,0,0,0
2609908,2,0,0,0
2622441,2,0,0,0
2622627,2,1,0,0
2637000,2,1,1,1
2681198,2,1,0,0
2686712,2,1,0,0
2697921,1,1,0,0
