code_module,week,expected_clicks,expected_active_days
CCC,32,154.6,3.8
CCC,33,124.1,3.4
CCC,34,145.4,3.6
CCC,35,27.2,2.8
CCC,36,11.0,2.2
CCC,37,13.5,2.1
CCC,38,8.3,1.6
DDD,0,302.1,13.5
DDD,1,102.3,4.8
DDD,2,113.5,4.9
DDD,3,118.9,5.1
DDD,4,91.6,4.8
DDD,5,79.8,4.5
DDD,6,85.4,4.6
DDD,7,81.5,4.7
DDD,8,52.4,4.3
DDD,9,51.5,4.0
DDD,10,44.7,3.6
DDD,11,50.2,3.8
DDD,12,52.2,4.1
DDD,13,50.5,4.0
DDD,14,47.1,3.9
DDD,15,56.7,4.1
DDD,16,74.4,4.5
DDD,17,89.3,4.5
DDD,18,85.0,4.4
DDD,19,81.9,4.3
DDD,20,82.1,4.5
DDD,21,69.5,4.4
DDD,22,55.5,4.1
DDD,23,51.0,3.9
DDD,24,40.6,3.6
DDD,25,30.5,3.2
DDD,26,31.0,3.1
DDD,27,40.8,3.4
DDD,28,49.5,3.7
DDD,29,61.9,3.9
DDD,30,68.1,3.8
DDD,31,67.5,3.6
DDD,32,79.0,4.0
DDD,33,67.0,3.7
DDD,34,37.7,2.8
DDD,35,13.5,2.4
DDD,36,8.6,2.1
DDD,37,4.4,1.4
EEE,0,321.0,9.8
EEE,1,145.0,4.3
EEE,2,178.0,4.7
EEE,3,108.1,4.5
EEE,4,118.0,4.8
EEE,5,80.8,4.2
EEE,6,102.6,4.7
EEE,7,98.4,4.6
EEE,8,92.9,4.5
EEE,9,112.5,4.7
EEE,10,49.2,3.4
EEE,11,31.2,2.5
EEE,12,49.0,2.6
EEE,13,52.1,3.2
EEE,14,68.6,3.6
EEE,15,74.6,3.9
EEE,16,99.4,4.3
EEE,17,119.6,4.6
EEE,18,132.2,4.4
EEE,19,152.4,4.3
EEE,20,166.1,4.5
EEE,21,177.2,4.6
EEE,22,178.5,4.7
EEE,23,141.1,4.2
EEE,24,63.9,3.4
EEE,25,57.4,3.0
EEE,26,60.5,2.9
EEE,27,71.3,2.9
EEE,28,58.6,2.7
EEE,29,67.0,2.9
EEE,30,58.6,3.1
EEE,31,55.6,3.1
EEE,32,61.1,3.4
EEE,33,60.6,3.2
EEE,34,11.3,2.1
EEE,35,8.9,1.9
EEE,36,7.6,1.8
EEE,37,7.1,1.8
EEE,38,5.0,1.4
FFF,0,471.4,12.9
FFF,1,208.2,5.0
FFF,2,262.1,5.4
FFF,3,227.2,5.3
FFF,4,198.3,5.2
FFF,5,176.1,5.0
FFF,6,196.9,5.3
FFF,7,190.0,5.1
FFF,8,144.2,4.6
FFF,9,144.0,4.4
FFF,10,130.1,4.1
FFF,11,109.7,3.6
FFF,12,148.0,4.2
FFF,13,180.0,4.8
FFF,14,158.4,4.7
FFF,15,140.9,4.4
FFF,16,135.2,4.1
FFF,17,134.1,4.2
FFF,18,172.7,4.7
FFF,19,179.2,4.9
FFF,20,187.9,4.9
FFF,21,188.1,4.7
FFF,22,173.3,4.4
FFF,23,150.6,4.4
FFF,24,144.1,4.3
FFF,25,129.4,3.9
FFF,26,126.1,3.7
FFF,27,131.3,3.7
FFF,28,144.5,3.9
FFF,29,158.7,3.9
FFF,30,179.0,4.1
FFF,31,193.2,4.0
FFF,32,136.6,3.7
FFF,33,134.4,3.6
FFF,34,80.6,2.7
FFF,35,16.5,2.4
FFF,36,12.3,2.3
FFF,37,9.0,2.2
FFF,38,5.3,1.5
GGG,0,113.1,5.8
GGG,1,40.3,2.7
GGG,2,33.2,2.4
GGG,3,29.5,2.2
GGG,4,28.0,2.1
GGG,5,26.0,2.0
GGG,6,26.3,2.1
GGG,7,25.9,2.2
GGG,8,28.0,2.4
GGG,9,26.9,2.4
GGG,10,36.6,2.2
GGG,11,31.9,2.1
GGG,12,44.3,2.4
GGG,13,41.0,2.5
GGG,14,33.8,2.4
GGG,15,32.6,2.5
GGG,16,37.4,2.6
GGG,17,54.5,3.2
GGG,18,65.1,3.2
GGG,19,60.1,2.9
GGG,20,54.8,2.7
GGG,21,71.9,2.8
GGG,22,55.7,2.7
GGG,23,45.5,2.7
GGG,24,43.9,2.9
GGG,25,42.8,2.7
GGG,26,48.9,2.6
GGG,27,59.2,2.5
GGG,28,65.4,2.7
GGG,29,56.6,2.6
GGG,30,58.3,2.7
GGG,31,50.2,2.5
GGG,32,50.8,2.8
GGG,33,8.8,1.8
GGG,34,6.2,1.5
GGG,35,5.2,1.3
GGG,36,4.5,1.4
GGG,37,3.7,1.3
GGG,38,4.9,1.5
